Type,Name,Bandwidth usage
"Domain","22b89da9-938d-4545-85d4-4ac3d54ea517.netlify.app",1068084
"Domain","743c08ae-6a5d-4be2-a3e7-aae241ea69a4.netlify.app",959609
"Domain","agent-6a1035606e0a450--curious-semifreddo-b2911a.netlify.app",479006
"Domain","curious-semifreddo-b2911a.netlify.app",462976
"Domain","akhilioweb3.netlify.app",249906
"Domain","6a103701359f68e9ab3fbb6e--curious-semifreddo-b2911a.netlify.app",237449
"Domain","6a103da52f084f0bf38b95d1--curious-semifreddo-b2911a.netlify.app",236926
"Domain","agent-6a1035606e0a450--akhilioweb3.netlify.app",233004
"Domain","6a102e9872788bfda62e381b--curious-semifreddo-b2911a.netlify.app",112399
"Domain","chimerical-lollipop-b22d49.netlify.app",31129
"Domain","6a0de92dcb57f9240d2ca2a5--chimerical-lollipop-b22d49.netlify.app",8890
"Domain","6a0de33c0baf4b120bba1063--chimerical-lollipop-b22d49.netlify.app",8884
"Domain","devserver-bf71b5--sprightly-douhua-2b38b1ak.netlify.app",7811
"Domain","6a10492ace5f9b200a9e562a--euphonious-swan-a6080akh.netlify.app",7204
"Domain","euphonious-swan-a6080akh.netlify.app",4996
"Domain","6a102cfd6e0a45f3921b1155--euphonious-swan-a6080a.netlify.app",634
